Price,Close,High,Low,Open,Volume,EMA_20,EMA_50,EMA_100,EMA_200
Ticker,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,FORCEMOT.NS,,,,
Date,,,,,,,,,
2019-10-17,1059.4827880859375,1145.7560991022951,1042.3062298477437,1076.3666351554364,167321,1095.1168662356656,1147.2895161404565,1188.7657571808172,1219.8075014988094
2019-10-18,1049.625732421875,1063.1425067300245,1029.6189192980735,1039.3783403340742,32129,1090.784377301019,1143.459563837767,1186.0105091657886,1218.1141505627204
2019-10-22,1051.72412109375,1070.6085785755477,1044.2581395404159,1068.656694202575,23409,1087.0643529003269,1139.8620954948644,1183.3513727683223,1216.4585283789495
2019-10-23,1026.056640625,1055.5301617331716,1022.7872586154868,1049.2352640907613,17792,1081.254094588391,1135.3991364803599,1180.2366255971674,1214.563982232144
2019-10-24,1035.913818359375,1061.8251318686046,1024.7393276305465,1028.6430964977105,21936,1076.9359730427705,1131.4977514560076,1177.3787482261218,1212.7863686612707
2019-10-25,1015.126220703125,1038.4512612152635,1010.1000949546581,1034.4986479728866,14393,1071.0493299628042,1126.9341620147181,1174.1658268890328,1210.8196010198963
2019-10-27,1037.0361328125,1048.1618974501366,1016.9317478054397,1029.6189960985978,9523,1067.8099778532514,1123.4087491048272,1171.4503874023687,1209.0904122815143
2019-10-29,1058.1654052734375,1093.1041861607068,1038.4025743241295,1038.4025743241295,81883,1066.8914471313644,1120.8501866016354,1169.2071204295187,1207.58867091825
2019-10-30,1066.753662109375,1091.1033721803663,1062.8010485728255,1072.5604705064602,47139,1066.878324748318,1118.7287542686056,1167.1783390766445,1206.1873275470175
2019-10-31,1071.3404541015625,1105.7424135705492,1063.7769027289485,1076.2690094235927,46796,1067.3032894486269,1116.8703895561725,1165.2805591761478,1204.845567612237
2019-11-01,1085.784423828125,1100.7651111373464,1068.8030075737117,1087.1994922103443,32551,1069.0633974847694,1115.6513320766412,1163.706378278167,1203.660879614385
2019-11-04,1151.270263671875,1180.8900862227308,1082.271077236404,1095.0071708610776,135423,1076.8926228359223,1117.0481529235133,1163.460118582993,1203.1395799532656
2019-11-05,1116.03857421875,1167.9097986503969,1107.6942220730614,1161.7614352414873,39537,1080.6208086819058,1117.008561601758,1162.5210781005326,1202.2729032792904
2019-11-06,1098.1300048828125,1121.3574745504218,1094.0310957102026,1121.3574745504218,20476,1082.2883511772302,1116.2682260441522,1161.246007343746,1201.236655534052
2019-11-07,1078.4161376953125,1106.132920174105,1063.7770046044259,1105.7425194649675,26305,1081.919568940857,1114.783830422629,1159.6058119051631,1200.014560829189
2019-11-08,1056.994140625,1096.9589220258092,1054.3590254709602,1082.2709457456172,20507,1079.5457186250612,1112.5175680776242,1157.5738976223877,1198.5914720709384
2019-11-11,1057.8724365234375,1068.656644839397,1048.5034157926539,1063.6793637449396,15925,1077.4815965201446,1110.374621742166,1155.5996112639925,1197.1912826625055
2019-11-13,1039.8175048828125,1078.3672193932837,1034.498667875932,1058.9460661239718,13613,1073.8945401737321,1107.6076759829757,1153.3068962861473,1195.6253744258918
